filename,chemical_formula
HIFGIO_SL.cif,Zn3H34C44O10
HIFTOG01_clean.cif,Zn8H24C48O26
HIFTOG02_clean.cif,Zn16H48C96O52
HIFTOG_clean.cif,Zn16H48C96O52
HIFTUM_clean.cif,Fe4Ni6H104C60N42
HIFVOI_clean.cif,Zn16H96C96N64
HIFVUO01_clean.cif,Zn6H36C36N24
HIFWAV_clean.cif,Zn20H120C120N80
HIFZAY_charged.cif,Cu6H72C96N48B12F48
HIGRIA_clean.cif,Zn8Co2H36C72N36
HIHFOV_clean.cif,Ni2H52C72N16
HIHFUB_clean.cif,C224O64H128Nd8Si8
HIHGAI_clean.cif,Eu8Si6H96C168O48
HIHGEM_manual.cif,C21O6H12Er2Si2
HIHGIQ_clean.cif,Co8H136C180N8O48
HIHGUC_clean.cif,Cd4H104C132O48
HIJMEU_clean.cif,Mo16P16O112Mn12
HIJSOK_clean.cif,Co16H80C144N112
HILJUJ_clean.cif,Ce8N8O48C56H24S4
HIMSAY_clean.cif,Zn2H32C68N20
HIQNAY_clean.cif,Zn12N12C116H80O32
HIQNIG_clean.cif,Zn4H72C96N12O16
HIQNUS_clean.cif,O32N8H64C96Zn4
HIQWOV_clean.cif,Cd24Na16O192C384H192
HISGAT_clean.cif,K16H72C112S8O52
HISGIB_clean.cif,Cs2S2O12C28H16
HISJAW_clean.cif,Co28H156C216O132
HISJIE_clean.cif,Co20H152C216O96
HISSIN_clean.cif,Eu8C120O48H56
HITXUE_clean.cif,P24Al24O96
HIVQAG_clean.cif,Mn4H32C48N8O16
HIWKEE_clean.cif,Mn8Nb4H32C64N48
HIWKII_clean.cif,Mn4Nb2H8C24N20O4
HIWLEG_clean.cif,Zn8P12O36H12
HIWLIK_clean.cif,Zn12P16O48H16
HIWLOO_clean_h.cif,In4P6C30N6O24H24
HIWLOQ_clean.cif,Zn12P16O48H16
HIWLUW_clean.cif,Zn6P8O24H8
HIWXER01_SL.cif,Zn20C16N72O16H16
HIWXER_clean.cif,Zn10H8C8N36O8
HIXDOH01_manual.cif,Cu2W2C16N8O4H14
HIYBUN_clean.cif,Zn6H48C72Br12N24
HIYGIH_clean.cif,Cu24H96C240N80O96
HIYLUY_clean.cif,K20Ho20C160N40O160
HIYMAF_clean.cif,K20Dy20C160N40O160
HIYMEJ_clean.cif,Yb20K20C160N40O160
HIYYEU_clean.cif,Ni4Mo2H144C80N32
HIYZEV01_clean.cif,Mn4H16C32O16
HIZQEN01_clean.cif,Cd2O8C16H8
HIZQEN_clean.cif,Cd2H8C16O8
HIZQUD_clean.cif,Cd6H24C48O24
HOBBEF_clean.cif,Ag4N24C48H72
HOBGAH_clean.cif,Ni8O32N16H88C96
HOBGEL_clean.cif,Ni4O16C46H42N10
HOBGIP_clean.cif,Ni4N12C36H36O16
HOBGOV_clean.cif,Ni4O16C40H40N8
HOCDIO_clean.cif,Co4P4H8O28C8
HOCDOU_clean.cif,Mn5P2H2O26C10
HODWUS_clean.cif,C36N16H52Cd6
HOFJIX_clean.cif,La8Cu8H192C304N24O80
HOFMAS_clean.cif,Zn8N40O32C136H136
HOFSOL_clean.cif,Cu4N16C32H32
HOFSUS_clean.cif,Zn4H20C40N12O16
HOGJIX_clean.cif,Zn12H36C96N12O48
HOGJOD_clean.cif,Ru16S8F56O64N32C272H104
HOGJUK_clean.cif,C72Cr12O144Mn8
HOGLEV01_clean.cif,Cu12H48C102O48
HOGLEV_clean.cif,Cu48H192C408O192
HOGPUQ_clean.cif,C80H24Er8O64
HOGQAX_clean.cif,C80H24Yb8O64
HOGQEB_clean.cif,C80H24Sm8O64
HOGQIF_clean.cif,Gd2O16H22C44
HOGSIG_clean.cif,Ni4H24C36N12O12
HOGTOM_clean.cif,O48N12C48Pr4Cu6
HOHJAR_clean.cif,Fe4N8C48H32O18
HOHMEX_manual.cif,Cu8H96C160N8O40
HOJHUL_clean.cif,Ni4O24N12C84H68
HOJLEY_clean.cif,Cu4H64C52N8O16
HOJLID_clean.cif,Zn8H172C220N12O32
HOJLUP_clean.cif,Zn8O32N28C220H172
HOJNIF_clean.cif,O96C192H96Sc16
HOJNOL_clean.cif,O96C192H96Sc16
HOJNUR01_clean.cif,O96C192H96Sc16
HOJNUR_clean.cif,O96C192H96Sc16
HOJPAZ_clean.cif,O96C192H96Sc16
HOJPED_clean.cif,O96C192H96Sc16
HOJPIH_clean.cif,O96C192H96Sc16
HOKGUJ_clean.cif,Co16O32N32C72H56
HOKLIE_clean.cif,Zn24C348H172N16O120
HOLQIK_clean.cif,O128C360H192N24Zn32
HOMRIL_clean.cif,Cu4C64H96N48
HOMXIR_manual.cif,Zn24C264O78H141
HOMZEP_clean.cif,Ga24H36C108O98
HOPHUP_clean.cif,P4O14C4V4
HOPYEQ01_clean.cif,Zn8P8O32
HOPYEQ_clean.cif,Zn8P8O32H2
HOQMIL01_clean.cif,O40N8C104H64Mg8
HOQMIL02_clean.cif,O40N8C104H64Mg8
HOQMIL03_clean.cif,O40N8C104H64Mg8
HOQMIL04_clean.cif,Mg4H32C52N4O20
HOQMIL_clean.cif,O40N8C104H64Mg8
HOQMUX_clean.cif,O40N8C104H64Mg8
HOQNEI_clean.cif,O40N8C104H64Mg8
HORCOH_clean.cif,Yb4H4C28N8O24
HORCUN_clean.cif,Er4H4C28N8O24
HORHAY_clean.cif,N72C198H198Cd6
HORHEC_clean.cif,N72C198H198Cd6
HORHIG_clean.cif,N72C198H198Cd6
HOTFED_clean.cif,C88H48N24O32Zn12
HOTWUJ_clean.cif,Nd4H16C20O24
HOVGIK_clean.cif,Cd4O16N36H84C132
HOVJIN_clean.cif,Er2Ag2O16N4C28H16
HOVQAM_clean.cif,N24C168H120Co4
HOWJEK_clean.cif,Mn16P16O64
HOWPEQ_clean.cif,Ag8N48C32H32
HOWPIU_clean.cif,Ag8N48C32H32
HOWPOZ_clean.cif,Cd8H72C80N24O32
HOWPUF_clean.cif,Zn8H48C68N16O32
HOWQAM_clean.cif,Cd8H56C96N16O32
HOWQEQ_clean.cif,Cd8H56C96N16O32
HOWQOA_clean.cif,Zn16H96C172N28O64
HOWROC_clean.cif,Ba24C192H96O108
HOWSAP_clean.cif,Cu12O56C112H80N8
HOWSET_clean.cif,Cu32O144C284H160N16
HOWSIX_clean.cif,Cu32O144C284H160N16
HOXGEH_clean.cif,Sn12H108C78O30
HOXJIO_charged.cif,Ag6H100C124S16O14F12
HOXKIP_clean.cif,Eu8H24C72S12O48
HOXKUB_clean.cif,Yb8H24C72S12O48
HOXSAQ_clean.cif,O32C32N8Tb4K4
HOXSIY_clean.cif,Zn6C60H28O24
HOXSUK_clean.cif,C176H96Ni12O40
HOYREU_clean.cif,Li8O32N16H16C40Ba4
HOYRIY_clean.cif,Li8O32N16H16C40Sr4
HOYROE_clean.cif,Ba6Li12O48N24H24C60
HOYTUL_clean.cif,Yb2Na6H26C42N6O32
HOZBUV_clean.cif,O12N20C32H32Cd4
HOZDIL_clean.cif,O36Al8P12C36H24
HOZFEJ_clean.cif,Li4C96N24H68O24
HOZTOG_clean.cif,Cu36H144W6C192S24I24N144
HOZXEB_clean.cif,Cd36Cl36N160C32H64
HUCBAJ_charged.cif,Li4In4H56C112O36
HUCBEN_manual.cif,In2H28C56O16
HUCFAO_clean.cif,O42Mn6H50C48N12
HUCLIB_clean.cif,Sm4Ag4H32C56N8O32
HUCWOT_clean.cif,Sm4O24N12C84H48
HUCWUZ_clean.cif,Eu4O24N12C84H48
HUCXAG_clean.cif,Gd4O24N12C84H48
HUCXEK_clean.cif,Tb4O24N12C84H48
HUCXIO_clean.cif,Dy4O24N12C84H48
HUCXOU_clean.cif,Ho4O24N12C84H48
HUCXUA_clean.cif,Er4O24N12C84H48
HUDMAW_clean.cif,Co6C72O24H48N24Na2
HUDMEA_clean.cif,Co6O24C72H54N24Na2
HUDWUA_clean.cif,C54H30Cu5O20
HUFHEX_clean.cif,Ag18N72C162H144
HUFHIB_clean.cif,Ag18N72C162H144
HUFHOH_clean.cif,Ag18C162N72H144
HUFHUN_clean.cif,Ag18C162H144N72
HUFJAV_clean.cif,Ag18N72C162H144
HUFJEZ_clean.cif,Ag18C162H144N72
HUFJID_clean.cif,Ag20C180H160N80
HUFKUQ_clean.cif,Cd12N28C264H196O76
HUFLUR_clean.cif,C32Ca4F16O16
HUFMUS_clean.cif,Sr4F16O28N4C32
HUFYIS_clean.cif,C72H84O72U12
HUHBET_clean.cif,Mn48O208C256H448Na32
HUHJAW_clean.cif,Cd3H16C12N16Cl2
HUHJOL_clean.cif,Mn24Na14O100C140H250
HUHNIJ_clean.cif,Cd8Ti8O28N32H380C312
HUJGEA_clean.cif,O72C184H88Cu16
HUJVOX_clean.cif,N32C48H48Cu4
HUKQUZ_charged.cif,Cd6H252C252N72Cl12O48
HULCOI_clean.cif,C528H320O272N96Cu48
HULRIR_clean.cif,O96C192H80Cd24N24
HULTEN_clean.cif,P32O128H64Zn24
HULTEP_clean.cif,C180H144N108Co6
HUMQUC_charged.cif,Pr4Bi4H48C40N20O80
HUMWIX_clean.cif,O48C264H288Mn6Cu6Cl3B8
HUNBEX_clean.cif,Zn4K2O26C12
HUNBIB_clean.cif,As12Fe8O48C8
HUNCUQ_clean.cif,Zn12S12O72C168H96
HUNFIH_clean.cif,Ni6V12O24N16C104H112
HUNFON_clean.cif,V12Zn6C104H112N16O24
HUPQIU_clean.cif,Zn48O243C864H648
HUQGOR_clean.cif,C180H116N8O24Zn6
HUQGUX_clean.cif,C180H116N8O24Cu6
HUQHAE_clean.cif,Zn6O24C180H116N8
HUQHEI_clean.cif,C176H112N12O24Zn6
HUQHIM_clean.cif,C356H228N20O52Zn12
HUQHOS_clean.cif,C176H112N8O24Zn6
HUQHUY_clean.cif,C752H480N32O96Zn24
HURFEH_clean.cif,Zn20O52N48C144H136
HURFUX_clean.cif,Zn20N48H148O52C144
HURGAE_clean.cif,Zn20N36O64C176H200
HURGEH_clean.cif,Co12H36C108O72
HURGUX01_clean.cif,Ni6H64C80N4O24
HURGUX_clean.cif,Ni6H64C80N4O24
HURNOX_clean.cif,Co4H28C20N4O16
HURQUG_clean.cif,Ce4H24C24O30
HUSGAE_clean.cif,Cd4H8C16N32
HUSJUC_clean.cif,C84La4O24H36
HUSQES_clean.cif,Mo8H72C56N24O8
HUTTIA_clean.cif,Zn8H104C184N16O32F48
HUTZEB_clean.cif,Na4Zn4H32C48O28
HUVHIR_clean.cif,Zn6P6O30H26N12C24
HUVHOX_clean.cif,Zn8P8O44N20C36H32
HUWDEJ_clean.cif,N8C48H48Ag2
HUWHOY_clean.cif,Cd4O28C92H68N12
HUWLUI_clean.cif,Th2P2O16C42H24
HUWPIA_clean.cif,Al16Cl32N64C320H256
HUWSUN_clean.cif,N24C168H144O24Co4
HUXDOT_clean.cif,Ag16N72C96H72
HUXHEP01_clean.cif,Cd6C64H56O28N10
HUXWAY_clean.cif,Tb4Cu6H48C48O60
HUYJOA_clean.cif,Ni12H152C208N24O56
HUYJUG_clean.cif,Ni12H192C216N24O48
HUYKAN_clean.cif,Ni12H192C216N24O48
HUYKER_clean.cif,C528H624N48O144Ni24
HUYKIV_clean.cif,C384H48N48O96Ni24
HUYKOB_clean.cif,C576H384N48O144Ni24
HUYKUH_clean.cif,Ni12H168C240N24O96
HUYXOP_clean.cif,C156H124O24N32Ni8
HUYXUV_clean.cif,C156H124Co8N32O24
HUZFEO_clean.cif,C72H60N24Cd2
HUZFIS_charged.cif,Cd2H84C120N24Cl4O16
HUZFOY_charged.cif,Cd1H54C78N12Cl2O8
HUZKUJ_clean.cif,In8P10H10O46C8
HUZLIY_clean.cif,H52In16P28O96
HUZSOL_clean.cif,Na8Zn12H176C240N8O60
HUZSUR_clean.cif,K6Zn4H62C116N2O30
HUZXAD_clean.cif,C424H296N16O96Zn16
HUZXEH_clean.cif,C432H304N16O96Zn16
HUZXIL_clean.cif,C448H320N16O96Zn16
HUZXOR_clean.cif,Zn16N16O96C448H328
HUZXUX_clean.cif,C496H424N16O96Zn16
HUZYAE_clean.cif,C480H384N16O96Zn16
IBABOF01_clean.cif,Co8N20O48C120H80S8
IBABOF_clean.cif,Co8S8N20O48C120H80
IBABUL_clean.cif,Co8S8N20H80O48C120
IBACAS_clean.cif,Co8N20O48C120H80S8
IBAPEJ_clean.cif,La4C32H8N4O24
IBARUA_clean.cif,Er4Cu6H60C48N12O48
IBASAH_clean.cif,Ho4Cu6H60C48N12O48
IBASEL_clean.cif,La4Cu6H60C48N12O48
IBASOV_clean.cif,Nd4Cu6H60C48N12O48
IBASUB_clean.cif,Sm4Cu6H60C48N12O48
IBATEM_clean.cif,Gd4Cu6H60C48N12O48
IBEYOE_clean.cif,Cd3Mo12P8O50
IBICAZ_clean.cif,Zn6H90C66N12Cl6O12
IBICED_clean.cif,Zn6H90C66Br6N12O12
IBICIH_clean.cif,Zn6H90C66N12Cl6O12
IBICON_clean.cif,Zn6H90C66Br6N12O12
IBIRES_clean.cif,W8Cu24S24Br8C200H160N40
IBITEU_clean.cif,N48C168H120F48Mn4
IBITUK_clean.cif,Cu3H50C56N18O18
IBIYOI_ion_b.cif,I16Cu32S32N48C240H192W8
IBOTAU_clean.cif,Zn21P18O72
IBOTEY_clean.cif,La12O96N96C480H384
IBOTIC_clean.cif,La4O32N32C160H128
IBOTOI_clean.cif,O16N16C80H64La2
IBOWIH_charged.cif,Zn6H234C216N36O18Br12
IBOZIK_clean.cif,Cu8H64C58N8O20
IBUBAL_clean.cif,Cd32C224H152O96N72
IBUBIT_clean.cif,N48C128H80Zn20O48
IBUDOZ_clean.cif,Cu4H16C24N20
IBUYAH_clean.cif,Zn8H92C148N28O32
ICAGOK_clean.cif,Cu8H96C144N24O24
ICAQIO_clean.cif,Co12H168C276N12O48
ICAQOU_clean.cif,Cu12H168C276N12O48
ICAROV_clean.cif,Ni12H168C276N12O48
ICAWUF_clean.cif,Cd10H192C256N16O32
ICEGED_clean.cif,Cd3H12C24N24
ICIKEL_clean.cif,C1696S416Cd256
ICIKIP_clean.cif,C3584Cd512S832
ICISAP_clean.cif,C48O50H24Sc6
ICITEU_charged.cif,Fe12H96C156S12N12O76
ICITUK_charged.cif,Li28Ni16H24C120N48O120
ICIVAS_clean.cif,Na16Ni8H12C60N24O56
ICIZAV_clean.cif,Cu4P4H16C20N4O12
ICIZOL_clean.cif,Mn4H48C80S8N16O24
ICODIP01_clean.cif,Zn24H192C432N96O192
ICODIP_clean.cif,Zn24H192C432N96O192
ICORAV_ion_b.cif,O22C24La4S4H8N2Cl2
ICOWON_clean.cif,La2H24C18O12
ICOYIK_clean.cif,La4H38C56S8N2O38
IDAGEA_charged.cif,Cu4H72C76N14O14
IDAGOL_clean.cif,Mn4Mo4H32C56N24
IDAGUR_clean.cif,Mn8H32C56N28
IDAZEU_clean.cif,Yb2K2C8O16
IDEYOF_clean.cif,N16C80H64Ni4
IDIWIB_clean.cif,O20C32H16V4
IDIWUN_clean.cif,O40C112H72Zn12
IDIXAU_clean.cif,O40H56C96Zn12
IDORAW_clean.cif,Mn16Cu16C176H64N32O128
IDORIE_clean.cif,Cu28H168C240N144
IDUDES_clean.cif,Cu4H28C52N4O16
IDUDIW_clean.cif,Cu4H24C48N8O16
IDUTUW_clean.cif,O24Cs8Cd8Br16C8
IFAGON_clean.cif,Zn16H224C208N16O64
IFAHEC_clean.cif,Ga28Zn4P32F12O132
IFAQUC_clean.cif,Co8Mo20P8H88C108N24O56
IFAREN_charged.cif,Co12Mo40P16H176C216N48O180
IFASOZ_clean.cif,Mg16H128C96O64
IFEHUY_clean.cif,Mn12H12C48S12O24
IFENOY01_SL.cif,Zn4H48C72N8O12
IFENOY02_SL.cif,Zn8H96C144N16O24
IFENOY03_SL.cif,Zn8H96C144N16O24
IFENOY_clean.cif,Zn4H48C72N8O12
IFEPIT_clean.cif,Gd2Re12Te16C12N12
IFEPUG_SL.cif,Zn8H96C144N16O24
IFEQAN_SL.cif,Zn8H96C144N16O24
IFEQIV_SL.cif,Zn4H48C72N8O12
IFEYIB_clean.cif,Cd8Hg8C32S32N32
IFOSIG_clean.cif,Ce3Zr3C24O48
IFUDAO_charged.cif,Zr3Cd3C24O48H24N6
IFUDES_charged.cif,Zr3Cd3C30O48H30N6
IFUNUU_clean.cif,Tb4H28C60O28F4
IFUXOW_clean.cif,C56N56Mn12Mo8
IGAGAA_clean.cif,Co48N144O128C160H32
IGAGUU_clean.cif,Cr18Cu12H216C252N36Cl28O78
IGAHAB_clean.cif,Cr6Cu6H72C84N12Cl14O26
IGAHED01_clean.cif,Co2H2C10O8
IGAHED02_clean.cif,Co2H2C10O8
IGAHED_clean.cif,Co2H2C10O8
IGETUL_clean.cif,Eu6O36C162H90
IGEXOH_clean.cif,Zn4P8O32
IGINIX01_clean.cif,Zn8O32N8C56H24
IGINIX_clean.cif,Zn8O32N8C56H24
IGITOJ_clean.cif,Cu54I72C108H216N36
IGIZAA_clean.cif,Na32O128P4Ru4W36C24H24
IGIZEF_clean.cif,Sr12P32O112H48C32
IGOJEV_clean.cif,N32O64C320H176Cd8
IGUCET_clean.cif,Zn20P20O80
IGUCIY_clean.cif,Sm12N88H140C132
IGUTEK_clean.cif,Si6Al18O72P12
IGUTUB_clean.cif,Cd4O16N8C96H64
IGUVIR01_clean.cif,Cd4O16N8C96H64
IGUVIR_clean.cif,Cd4O16N8C96H64
IHAJEH_clean.cif,Mn12P24H16O80Zn8
IHAJIL_clean.cif,Fe6P16O48H16Zn6
IHAZOH_clean.cif,Fe24C192H96O104
IHECAB_clean.cif,Zn4O8N16C12H12
IHERIY_clean.cif,Co4O16N6S2C68H42
IHILUI_clean.cif,Gd4C24H24O24
IHIMAP01_clean.cif,C24H16La4O24
IHIMAP_clean.cif,C24H24La4O24
IHIWIF_clean.cif,Ba12Cr8H16C48O104
IHOTEG_clean.cif,Mg40O144H208C128
IHUROS_clean.cif,Fe6P6O40H4C8
IHUTIQ_clean.cif,Co8C160H160N32O32
IJANAJ_clean.cif,Zn3H22C38N4O12
IJANEN_clean.cif,Zn6H44C76N8O24
IJASES01_clean.cif,Tm2H12C24O12
IJASES_clean.cif,Tm2H12C24O12
IJASIW_clean.cif,Er2H28C48N4O12
IJASOC_clean.cif,Tm2H36C36O12
IJATIW_clean.cif,Pr4O24N12C48H12
IJENER_clean.cif,Ag8H48C48S16O16
IJEVEA_clean.cif,Cd24O96N8C232H96
IJEVIE_clean.cif,Cd11C96H32O48
IJEXIF01_clean.cif,C144H56O104Zn24
IJEXIF_clean.cif,O104C144H56Zn24
IJEXUR_clean.cif,Zn5H34C46S2N12O18
IJEYON_clean.cif,C24H24N48Cu2
IJIGOX_clean.cif,Ga6Co4P10O40
IJISEZ_clean.cif,V16P16K8O64C24
IJISOK_charged.cif,Ag4H84C96N12O28Cl4
IJODES_clean.cif,Zn6C70H66O36N22
IJUJEE_clean.cif,Er8Co8O64N32H56C96
IJUTEM_clean.cif,Al24P24O96
IKAYAU_clean.cif,Eu8H112C192N16O48
IKEBUV01_clean.cif,Cu4H8C12O16
IKEBUV_clean.cif,Cu4H8C12O16
IKETAU_clean.cif,Nd2H4C14N4O12
IKETEY_clean.cif,Sm2H4C14N4O12
IKETIB_clean.cif,O192Cu48C288
IKETIC_clean.cif,Eu2H4C14N4O12
IKETOH_manual.cif,Cu12C72O48H24
IKETOI_clean.cif,Gd2H4C14N4O12
IKETUN_clean.cif,O192Cu48C288
IKETUO_clean.cif,Tb2H4C14N4O12
IKEVAW_clean.cif,Dy2H4C14N4O12
IKEZED_clean.cif,Zn8O36C40Na4H12
IKOKEA_clean.cif,Al6P6O24F2
IKOPEF_clean.cif,Cu8O34H26C64
IKOPIJ_clean.cif,Cu12O64C128H48
IKOQII_clean.cif,N48C96H240Ag12
IKOSOQ_clean.cif,Cu8H192C232N32O64
IKOSUW_charged.cif,Cu4H96C116N20O44
IKOTUZ_clean.cif,K18Sm18S36O180C252H108
IKOVAH_clean.cif,K18Eu18S36O180C252H108
IKOVEL_clean.cif,K18Pr18S36O180C252H108
IKUBUL01_clean.cif,Zn12P16H16O48
IKUBUL_clean.cif,Zn12P16O48H16
IKUMAE_clean.cif,Cd2O4N16C42H44
IKUTIT_clean.cif,Dy2C24H18N6O12
IKUTOZ_clean.cif,Dy2C40H22N2O12
IKUTUF_clean.cif,Dy16C216H72N24O96
ILAGUY_charged.cif,Cd12H316C352N32O88Cl4
ILASIZ_clean.cif,Co4K4C24N24
ILASUL_clean.cif,N24C24Rb4Co4
ILAXEA_clean.cif,N96C288H192Cu8
ILECIN_clean.cif,Mg8O48C24H24
ILEHUD_clean.cif,Zn24P32O112H64C32
ILENOC_clean.cif,P16O64H8In14F16
ILIFOY_clean.cif,La2H12C18O24
ILIFUE_clean.cif,Ce2H12C18O24
ILIGAL_clean.cif,Pr2H12C18O24
ILIGEP_clean.cif,Nd2H12C18O24
ILIMOH_clean.cif,N90C216H144Ni9
ILIMUN_clean.cif,N30C72H48Ni3
ILINIC_clean.cif,Re24S32C16N16Cd4
ILIQEB_clean.cif,Cd2O8N2C28H20
ILIQIF_clean.cif,Cd2O8N2C28H20
ILITUT_manual.cif,Co24H288C480N48O64
ILOJEZ_clean.cif,Zn4H68C92N24O16
ILOJOJ_clean.cif,Cu4H68C92N24O16
ILOSOS_clean.cif,Cu8S16N64C72H128
ILOTOT_clean.cif,Co4H56C68O24
ILUFEB_charged.cif,Cd3H108C86N38Se2
ILUFIF_clean.cif,Eu4Co6H36C84N12O48
ILUFOL_clean.cif,Dy4Co6H36C84N12O48
ILUFUR_clean.cif,Tb4Co6H36C84N12O48
ILUGAY_clean.cif,Yb4Co6H36C84N12O48
ILUGOM_clean.cif,Er4Fe6H36C84N12O48
ILUHIH_clean.cif,Ho4Fe6H36C84N12O48
ILUHON_clean.cif,Nd4Fe6H36C84N12O48
ILUHUT_clean.cif,Pr4Co6H36C84N12O48
ILUJAB_clean.cif,Pr4Fe6H36C84N12O48
ILUJEF_clean.cif,Sm4Co6H36C84N12O48
ILUJIJ_clean.cif,Sm4Fe6H36C84N12O48
IMACND_clean.cif,C16Nd4N4O16
IMAGAG_clean.cif,Zn4C56H72N16
IMAXUR_clean.cif,N36C184H128O32Cu12
IMEDOV_clean.cif,C648O24H528Ni16N168
IMIDZB10_clean.cif,Zn6H36C36N24
IMIQIF_clean.cif,W12Cu10Cl2N24O34C48H48Si1
IMISIH_clean.cif,Cu24H120C120I24N72
IMUTUG_ion_b.cif,O100C144H48In18
INAMUG_clean.cif,Co4H84C98N12O16
INARUM_clean.cif,Zn10O32N28C52H24
INEBOT01_clean.cif,N40C264H208O36Ni14
INEBOT_charged.cif,Ni14H208C264N44O60Cl4
INESIE_clean.cif,Ni8H64C96N16O36
INEXIK_clean.cif,Co8O40C92H36
INEXOQ_clean.cif,Mn8O40C92H36
INIDAL_clean.cif,Ga24P24F16O96
INIGET_clean.cif,Mo8O20N12C88H56Ni4
INIQUR_clean.cif,Fe4Ni6H100C60N42
INIRAA_clean.cif,Mo8C88H56N12O20Co4
INIRAY01_clean.cif,Co4Ni6H100C60N42
INIRAY_clean.cif,Co4Ni6H100C60N42
INIRII_clean.cif,Tb20Ge28N8O124H132C104
INIXOT_clean.cif,P12O48Mg6B6
INOMIJ_clean.cif,Ca8S8C56H28O40
INOMOP01_clean.cif,Ca4S4O16C24H8
INOMOP_clean.cif,Ca4S4O16C24H8
INOVEN_clean.cif,Gd4H28C60N8O24
INURIS_clean.cif,Cu24H264C360N24O72
IPICOA_clean.cif,Zn12O48P16H16
IPICUG_charged.cif,Cu8H80C112N48Cl12O48
IPIDUH_clean.cif,Ag16H128C88S8N40O24
IPIFAP_clean.cif,Ag6H48C24N16
IPIHIA_clean.cif,Cd8O32N48C136H104
IPIJEY_clean.cif,Zn16O32N64C192H112
IPIJUM_clean.cif,Er4H6C30O24
IPIMEA_clean.cif,La24S48O216Na8
IPOWOA_clean.cif,Cu10H28C48O48
IQABEJ_clean.cif,Co10S4O32H24N12C40
IQECIS_clean.cif,Co16F12O40N48C252H156S4
IQEKOG_clean.cif,Zn16C160H80N48O64
IQEKUM_clean.cif,Zn12C120H56N36O48
IQEWOQ_clean.cif,Mn12H24C24O48
IQIDES_clean.cif,P16H16Be12O48
IQIJIC_clean.cif,Co6H128C168N12O36
IQILIF_clean.cif,Bi8C432H256O64K8
IQINAZ_clean.cif,Cd2C36H22N4O8
IQIPAZ_clean.cif,Mn8H28C64N4O40
IQOHON_clean.cif,C296H216Co8N32O32
IQOHUT_clean.cif,C60H40N6O8Co2
IQOJAB_clean.cif,Zn8C200H128N16O32
IQOJEF_clean.cif,C248H168N32O32Zn8
IQOKEG_clean.cif,Mn3Si2O16C56H32
IQOKIK_clean.cif,Mn9O48C168H96Si6
IQOZUJ_clean.cif,Co4H20C24N16
IQUCOO_clean.cif,O32H32C72Mg4
IQUNAJ01_clean.cif,K2Y2C8O16
IQUNAJ_clean.cif,K2Y2C8O16
IRAGEN_charged.cif,Ag24H144C144N96O72
IRAHUF_clean.cif,Ga24P24O96F16
IRAJAN_clean.cif,Ga12P12O48F8N4
IRAJER_clean.cif,Ga16P20O96H8C8
IRAJIV_clean.cif,Ga16P28H28O84
IRAYOQ_clean.cif,V28P32O144H8
IREKUN_clean.cif,Zn6O20H24C44
IRELAU_clean.cif,O32Zn8C88H40
IRIPOO_clean.cif,V12P24O96H16Nb4
IRISAD01_charged.cif,Bi2C8O16H8N2
IRISAD_clean.cif,Bi4O32C16
IROHAZ_clean.cif,O168Na4Si4Y4Cs16W44C8H12
IROHED_clean.cif,C8H12O168Na4K8Ge4Y4W44Rb8
IROROY_clean.cif,C96H56N16O32Cd8
IRORUE_clean.cif,C104H64N16O32Mn8
IROVAO_clean.cif,U5P8O24C4H8
IROVES_clean.cif,U3P8O24C4H8Zn2
ISACIP_clean.cif,Cd6H44C76N8O24
ISENUQ_clean.cif,Dy4Ni4H100C192N16O32
ISIKIF_clean.cif,Co8H40C72O40
ISIKOL_clean.cif,Co4H76C76N16O20
ISIMAZ_clean.cif,Zn4H76C76N16O20
ISIMUT_clean.cif,Zn2O10N4C42H24
ISISUZ_clean.cif,N8O20C56H32Cu4
ISIYOZ01_clean.cif,Er8O64C32H32
ISIYOZ_clean.cif,Er8O64C32H32
ISIYUF01_clean.cif,Er16O128C64H64
ISUCUV_clean.cif,Fe6H36C72O24
ISUFOS_clean.cif,N12H54C54Cd1
ISUGIN_clean.cif,Gd18H74C144N24O76
ISUGOT_clean.cif,Eu18H74C144N24O76
ISUXAW_clean.cif,Dy8H16C64N8O48
ITANUM_clean.cif,Cu8N12C12
ITAPAU_clean.cif,Cu16C24N24
ITAPIC_clean.cif,Cu16C24N24
ITETEH_clean.cif,Fe3H6C21O15
ITIBET_clean.cif,Cd12C32N24Cl4O32
ITIBOD_clean.cif,Cd14H16C40N28O36
ITIPAE_clean.cif,Zn12O48C24H24
ITIPOS_clean.cif,Cu12N12O42H54C48Ca2
ITIWAK_clean.cif,C192H144N48Cd4
ITIWEO_clean.cif,C192H144N48Cd4
ITIWIS_charged.cif,Cd4H144C192N48Cl4O16
ITIWOY_charged.cif,Cd4H144C192N48Cl4O16
ITIWUE_charged.cif,Cd4H144C192N48Cl4O16
ITIXAM_clean.cif,Mn12C216H120O72
ITONAI_clean.cif,Zr12O52C44N8
ITOSEQ_clean.cif,Zn8P8O48C32H24
IVARUT_clean.cif,Cd2H64C56N8O8
IVEHEW_manual.cif,Cu2H32C40S4N8O12
IVEQAC_clean.cif,O28C32N12Ti4P8
IVEQEG_clean.cif,O28C32N12P8Al4
IVETOT_clean.cif,Cu4H128C180N16
IVIKAA_clean.cif,Cd8O16N16C128H64
IVILEG_clean.cif,Zn16N40O34H160C216
IVIXIW_clean.cif,Ag2O4N4C26H18
