REFCODE,DOI,CCDC
cm301726k_si_004,10.1021/cm301726k,
cm303749m_si_001,10.1021/cm303749m,
cm303749m_si_002,10.1021/cm303749m,
cm500700z_si_002,10.1021/cm500700z,
cm500700z_si_003,10.1021/cm500700z,
cm500700z_si_004,10.1021/cm500700z,
cm501138g_si_002,10.1021/cm501138g,
cm501138g_si_003,10.1021/cm501138g,
cm501138g_si_004,10.1021/cm501138g,
cm501138g_si_005,10.1021/cm501138g,
cm501138g_si_006,10.1021/cm501138g,
cm501138g_si_008,10.1021/cm501138g,
cm501138g_si_009,10.1021/cm501138g,
cm501138g_si_010,10.1021/cm501138g,
cm501138g_si_011,10.1021/cm501138g,
cm501138g_si_012,10.1021/cm501138g,
cm504350q_si_002,10.1021/cm504350q,
cm5b00754_si_002,10.1021/cm5b00754,
cm703258n-file004,10.1021/cm703258n,
cm8027687_si_002,10.1021/cm8027687,
cm901983a_si_001,10.1021/cm901983a,
COCMAJ,10.1039/b718961c,
COCMOY,10.1039/C4CE00486H,
COCNAL,10.1039/C4CE00486H,
CODFEH,10.1039/b717297d,
CODKOX,10.1016/j.dyepig.2014.01.032,
CODQOD,10.1016/j.dyepig.2014.01.032,
CODQUJ,10.1016/j.dyepig.2014.01.032,
CODROD,10.1002/zaac.200800182,
CODRUJ,10.1002/zaac.200800182,
CODSAR,10.1016/j.dyepig.2014.01.032,
CODSOF,10.1039/C4CE00093E,
CODSUL,10.1039/C4CE00093E,
COGNAO,10.1039/b802809e,
COGWEB,10.1021/ja803097e,
COJGEO,10.1021/ja710144k,
COJHIT,10.1021/ja8024092,
COMDOY,10.1021/ic800008f,
COMGUH,10.1021/cg8003257,
comp2,10.1039/B204573G,
COPXOV,10.1021/ic801278j,
CORZOA,10.1039/C4CE01326C,
COSMII,10.1039/C4CE01326C,
COWMAD,10.1021/cg800204q,
COWMEH,10.1021/cg800204q,
COWMIL,10.1021/cg800204q,
COWMOR,10.1021/cg800204q,
COWMUX,10.1021/cg800204q,
COWPOU,10.1002/chem.201002683,
COWXOC,10.1021/cg8008859,
COXQUB,10.1016/S0020-1693(99)00273-X,
COXXIX,10.1007/s11224-008-9383-y,
COYCEZ,10.1021/cg800896k,
COYCID,10.1021/cg800896k,
COYTEQ,10.1039/b816205k,
COYTIU,10.1039/b816205k,
COYTOA,10.1039/b816205k,
COYTUG,10.1039/b816205k,
COYTUG01,10.1039/b816205k,
COYVAO,10.1039/b816205k,
COYVAO01,10.1039/b816205k,
COYVES,10.1039/b816205k,
COYVES01,10.1039/b816205k,
COZMUA,10.1039/b900085b,
CUCKIV,10.1039/B813167H,
CUCSAU,10.1039/a909754f,
CUGLTM,10.1107/S0365110X66003517,
CUGLTM01,10.1016/S0020-1693(98)00224-2,
CUGLTM02,-,y
CUGVUW,10.1039/B911955H,
CUHPUR,10.1021/ja906911q,
CUIMDZ01,10.1021/ic010384+,
CUKVUA,10.1021/cg900788h,
CUKXOW,10.1021/cg900518s,
CUKXUC,10.1021/cg900518s,
CUKYAJ,10.1021/cg900518s,
CUMDIY,10.1016/j.jssc.2009.07.019,
CUMDOE,10.1016/j.jssc.2009.07.019,
CUNFOH,10.1021/cg900828v,
CUNFOH01,10.1021/cg900828v,
CUNWEO,10.1021/cg9013366,
CURBOH,10.1002/anie.201001902,
CUSDIE,10.1021/cg901473d,
CUSYAR,10.1126/science.1192160,
CUTFON,10.1039/b923365b,
CUTFUT,10.1039/b923365b,
CUTKOS,10.1021/cg900579s,
CUVGIK,10.1021/cg9015004,
CUVGOQ,10.1021/cg9015004,
CUVHIL,10.1021/cg1000914,
CUVHIL01,10.1021/cg1000914,
CUVHIL02,10.1021/cg1000914,
CUVTUJ,10.1002/anie.201000094,
CUVXAT,10.1021/cg9013812,
CUYHIO,10.1039/b915889h,
CUYQIX,10.1021/cg100006a,
CUYRUK,10.1021/cg100020t,
CUYVOI,10.1021/cg100032n,
CUYWUP,10.1039/b925903a,
CUYYAX,10.1039/c0ce00054j,
CUYYEB,10.1039/c0ce00054j,
DABWUA,10.1002/anie.201102329,
DACXOV,10.1002/ejic.200300876,
DACXUB,10.1002/ejic.200300876,
DACYAI,10.1002/ejic.200300876,
DAGDIZ,10.1039/b402715a,
DAGDUL,10.1039/b402715a,
DAHTIQ,10.1021/om049470i,
DAHWAM,10.1002/ejic.201100523,
DAJHOM,10.1002/chem.200400178,
DAJHUS,10.1002/chem.200400178,
DAKVOC,10.1021/cg200919m,
DAKVUI,10.1021/cg200919m,
DALCEZ,10.1021/cg049781w,
DANZAV,10.1021/ja209643b,
DANZEZ,10.1021/ja209643b,
DANZID,10.1021/ja209643b,
DANZOJ,10.1021/ja208256u,
DAPBIH,10.1021/ja208256u,
DAPXEZ,10.1021/ic201754z,
DAPXID,10.1002/chem.201103308,
DAPYAW,10.1039/c2dt12392d,
DARCOQ,10.1021/ic202082w,
DARCUW,10.1021/ic202082w,
DARDAD,10.1021/ic202082w,
DARDEH,10.1021/ic202082w,
DARDIL,10.1021/ic202082w,
DARDOR,10.1021/ic202082w,
DARDUX,10.1021/ic202082w,
DARFAF,10.1021/ic202082w,
DARFEJ,10.1021/ic202082w,
DARFIN,10.1021/ic202082w,
DARFOT,10.1021/ic202082w,
DARNOB,10.1021/ic201425v,
DARSEV,10.1021/ja052431t,
DASTEY01,10.1021/cg201630c,
DATHAJ,10.1021/cg2013717,
DATPIY,10.1002/anie.200500453,
DAVYEG,10.1021/cg201111r,
DAWBIO,10.1021/cg201447c,
DAWBOU,10.1021/cg201447c,
DAWBUA,10.1021/cg201447c,
DAWCAH,10.1021/cg201447c,
DAWCIP,10.1021/cg201552g,
DAWCOV,10.1021/cg201552g,
DAWDAI,10.1021/cg201552g,
DAWMUL,10.1021/cg201520z,
DAWWEF,10.1021/cg201287t,
DAWWIJ,10.1021/cg201287t,
DAXGUG,10.1021/cg201556b,
DAXHIV,10.1021/cg201569m,
DAXHIV01,10.1021/cg201569m,
DAXHUH,10.1021/cg201569m,
DAXHUH01,10.1021/cg201569m,
DAXKOE,10.1021/cg201572y,
DAXNOG,10.1016/j.jssc.2005.08.013,
DAYYIN,10.1039/c2cc34787c,
DEBGIA,10.1246/cl.1999.285,
DEBWAK,10.1002/anie.201200758,
DEBWEO,10.1002/anie.201200758,
DEFKUU,10.1107/S0108270185008745,
DEFRIR,10.1016/j.ica.2012.04.039,
DEGJIK,10.1016/j.ica.2012.06.008,
DEGPEL,10.1021/cg0600142,
DEHBIC,10.1016/j.poly.2005.11.034,
DEHLAF,10.1016/j.ica.2012.06.034,
DEHLIN,10.1016/j.ica.2012.06.034,
DEJCEB,10.1021/cg060087l,
DEJCIF,10.1021/cg060087l,
DEJROB,10.1002/chem.201202377,
DEJRUH,10.1002/chem.201202377,
DEKHEH,10.1002/ejic.200501155,
DEKHUX,10.1002/ejic.200501155,
DELGEI,-,y
DENKOX,10.1021/ic060520g,
DEPXAY,10.1016/j.molstruc.2006.02.048,
DEPXIG,10.1016/j.molstruc.2006.03.077,
DEPXOM,10.1016/j.molstruc.2006.03.077,
DEQFOU,10.1016/S0020-1693(98)00223-0,
DEQVIF,10.1002/ejic.200600198,
DEXZIR,10.1002/cplu.201300121,
DEYCAN,10.1002/zaac.201300033,
DEYDOA,10.1007/BF00663275,
DEYJIC,10.1021/ic302662x,
DEYJOI,10.1021/ic302662x,
DEYLUQ,10.1039/C3CE40273H,
DEYNIG,10.1039/C3CE26817A,
DEYVUA,10.1039/c3ta10918f,
DEYXIQ,10.1039/c3dt50381j,
DEZKAW,10.1039/C3CE40565F,
DEZKEA,10.1039/C3CE40565F,
DEZNED,10.1039/c3ce40375k,
DIBJEF,10.1021/ic400182u,
DIBJIJ,10.1021/ic400182u,
DIBPIP,10.3184/174751913X13588721596575,
DIBQEM,10.1039/C3SC51379C,
DIBQIQ,10.1039/C3SC51379C,
DIBQOW,10.1039/C3SC51379C,
DIBWUH,10.1021/cg060468z,
DIBWUI,10.1039/c3ce40346g,
DIBXAP,10.1039/c3ce40346g,
DIBXIX,10.1039/c3ce40346g,
DIBXOD,10.1039/c3ce40346g,
DICKEH,10.1021/ic302018g,
DICVAO,10.1021/ic400029p,
DICVES,10.1021/ic400029p,
DICVIW,10.1021/ic400029p,
DIDBAV,10.1021/ic301857h,
DIDBEZ,10.1021/ic301857h,
DIDBID,10.1021/ic301857h,
DIDBOJ,10.1021/ic301857h,
DIDDOK,10.1016/j.jorganchem.2006.07.048,
DIHPIU,10.1021/ol071189n,
DILXED,10.1021/cg400644k,
DIMJUG,10.1021/cg4009587,
DIMKER,10.1021/cg4009587,
DIMKUH,10.1021/cg4009587,
DIMQEX,10.1021/cg400454c,
DIMQOH,10.1016/j.poly.2013.05.003,
DINNIZ,10.1016/j.jssc.2013.05.027,
DIPLUL,10.1071/ch13111,
DIPMAS,10.1021/cm302381k,
DIRPOL,10.1002/chem.201303086,
DITJIB,10.1002/anie.201307340,
DITJOH,10.1002/anie.201307340,
DITYAH,10.1039/b711047b,
DIWNAA,10.1039/c3ce41253a,
DIXGIC,10.1039/C4TC00329B,
DIXJIF,10.1039/C4DT00435C,
DIXKOL,10.1039/b715808d,
DIYTEM,10.1039/C4CE00355A,
DIYWIT,10.1039/C4CE00355A,
DIZQOT,10.1002/zaac.200700537,
DOCKOW,10.1021/cg700740m,
DODHUA,10.1080/00958970701484798,
DODMIT,10.1080/00958970701411361,
DOGZIJ,10.1021/cg701041k,
DOHYIJ,10.1080/00958970801986825,
DOHYIJ01,10.1016/j.inoche.2008.09.017,
DOKDEN,10.1039/b806616g,
DOKHIV,10.1039/b808373h,
DOKHOB,10.1039/b808373h,
DOLXOR,10.1016/S0020-1693(00)86845-0,
DOLXOR01,10.1107/S160053680401921X,
DOLXOR02,10.1016/j.inoche.2005.05.024,
DOMCUE,10.1039/b802196a,
DOMGET,10.1039/C4CC05601A,
DONNAW01,10.1039/b822163d,
DONNEA,10.1021/ic800008f,
DOQGUM,10.1039/b814400a,
DOQHAT,10.1039/b814400a,
DOQHEX,10.1039/b814400a,
DOQHIB,10.1039/b814400a,
DOQHOH,10.1039/b814400a,
DOQHUN,10.1039/b814400a,
DOQKAW,10.1039/b815629h,
DOQRUW,10.1021/ic991355q,
DORDUK,10.1021/ja8075692,
DORFOG,10.1021/ja8075692,
DORFUM,10.1021/ja8074665,
DOTSOV,10.1002/anie.200803925,
DOTSOV01,10.1002/anie.200803925,
DOTSOV02,10.1002/anie.200803925,
DOTSOV03,10.1002/anie.200803925,
DOTSOV04,10.1002/anie.200803925,
DOTSOV05,10.1002/anie.200803925,
DOTSOV06,10.1002/anie.200803925,
DOTSOV07,10.1002/anie.200803925,
DOTSOV08,10.1002/anie.200803925,
DOTSOV09,10.1002/anie.200803925,
DOTSOV10,10.1002/anie.200803925,
DOTSOV11,10.1002/anie.200803925,
DOTSOV12,10.1002/anie.200803925,
DOTSOV13,10.1002/anie.200803925,
DOTSOV14,10.1002/anie.200803925,
DOTSOV15,10.1002/anie.200803925,
DOTSOV16,10.1002/anie.200803925,
DOTSOV17,10.1002/anie.200803925,
DOTSOV18,10.1002/anie.200803925,
DOTSOV19,10.1002/anie.200803925,
DOTSOV20,10.1002/anie.200803925,
DOTSOV21,10.1002/anie.200803925,
DOTSOV22,10.1002/anie.200803925,
DOTSOV23,10.1002/anie.200803925,
DOTSOV24,10.1002/anie.200803925,
DOTSOV25,10.1002/anie.200803925,
DOTSOV26,10.1002/anie.200803925,
DOTSOV27,10.1002/anie.200803925,
DOTSOV28,10.1002/anie.200803925,
DOTSOV29,10.1002/anie.200803925,
DOTSOV30,10.1002/anie.200803925,
DOTSOV31,10.1002/anie.200803925,
DOTSOV32,10.1002/anie.200803925,
DOTSOV33,10.1002/anie.200803925,
DOTSOV34,10.1002/anie.200803925,
DOTSOV35,10.1002/anie.200803925,
DOTSOV36,10.1002/anie.200803925,
DOTSOV37,10.1002/anie.200803925,
DOTSOV38,10.1002/anie.200803925,
DOTSOV39,10.1002/anie.200803925,
DOTSOV40,10.1002/anie.200803925,
DOTSOV41,10.1002/anie.200803925,
DOTSOV42,10.1021/ja904782h,
DOTTUC,10.1021/ja8075692,
DOTWAL,10.1007/s10870-008-9462-3,
DOYLIM,10.1021/ic00226a013,
DUBWON,10.1107/S1600536809028566,
DUCGEO,10.1021/ic900128t,
DUCHEP,10.1021/ic900128t,
DUFGOB,10.1039/b820659g,
DUFZOU,10.1039/b821496d,
DUFZUA,10.1039/b821496d,
DUGBAJ,10.1039/b821496d,
DUQCAU,10.1107/S1600536809053598,
DUQCAU01,-,y
DUQSEO,10.1039/b919243c,
DUVNIS,10.1016/j.inoche.2010.03.016,
DUVNIS01,10.1016/j.inoche.2010.03.016,
DUXKEN,10.1039/b915539b,
DUXKUD,10.1039/b924966d,
DUXMAL,10.1039/b921850e,
DUXZIG01,10.1039/c1ce05699a,
DUYRAR,10.1039/b915118d,
DUYREV,10.1039/b915118d,
DUYRIZ,10.1039/b915118d,
DUYROF,10.1039/b915118d,
EBAMOL,10.1016/j.inoche.2011.06.009,
EBANAY,10.1016/j.inoche.2011.06.017,
EBATUY,10.1016/j.ica.2011.08.009,
EBELUU,10.1039/c1ce05699a,
EBEMEE,10.1002/anie.200453923,
EBEMEF,10.1039/c1ce05699a,
EBEMII,10.1002/anie.200453923,
EBEMOO,10.1002/anie.200453923,
EBETOW,10.1039/c1ce05541k,
EBEVAK,10.1039/c1ce05541k,
EBEWIT,10.1039/c1ce05468f,
EBEWOZ,10.1039/c1ce05468f,
EBEWOZ01,10.1039/c1ce05468f,
EBEXAM,10.1039/c1ce05468f,
EBEXEQ,10.1039/c1ce05468f,
EBEXEQ01,10.1039/c1ce05468f,
EBEZUI,10.1039/c0ce00834f,
EBIDIE,10.1039/c1ce05520h,
EBIDOK,10.1039/c1ce05520h,
EBIHII,10.1039/c1ce05470h,
EBIJAC,10.1039/c1ce05888f,
EBIMIN,10.1039/c1ce05149k,
EBIMOT,10.1039/c1ce05149k,
EBIPIQ,10.1039/c1ce05466j,
EBUFUE,10.1039/c1ce05933e,
EBUQEX,10.1039/b100580b,
EBUQIB,10.1039/b100580b,
EBUQOH,10.1039/b100580b,
EBUREA,10.1039/c1ce05817g,
ECAHAT,10.1039/c1cc14115e,
ECAHEX,10.1039/c1cc14115e,
ECAHIB,10.1039/c1cc14115e,
ECAHOH,10.1039/c1cc14115e,
ECAHUN,10.1039/c1cc14115e,
ECASAD,10.1016/j.jssc.2005.10.010,
ECASOS,10.1080/10610278.2010.523119,
ECEZAO,10.1021/ic051633n,
ECEZAO01,10.1021/cg050363g,
ECIWOC,10.1021/cm010301n,
ECIWUJ,10.1002/anie.200502844,
ECODEG,10.1016/j.jssc.2005.12.012,
ECODIK,10.1016/j.jssc.2005.12.012,
ECOKAJ,10.1021/ic051900p,
ECOLEP,10.1021/cg2002223,
ECORIX,10.1039/b101531l,
ECOROD,10.1039/b101531l,
ECOSIY,10.1021/ja0109848,
ECOTOG,10.1021/ic051992i,
ECUCIP,10.1021/ic050453a,
ECUCOV,10.1021/ic050453a,
ECUCUB,10.1021/ic050453a,
ECUDAI,10.1021/ic050453a,
ECUDEM,10.1021/ic050453a,
ECUDIR,10.1021/ic301183h,
ECUDOX,10.1021/ic301183h,
ECUFAL,10.1021/ic301183h,
ECUFEP,10.1021/ic301183h,
ECUTON,10.1007/s10904-012-9699-3,
EDABOC,10.1007/s10904-011-9641-0,
EDADET,10.1021/ic051707v,
EDADIX,10.1002/anie.200502844,
EDAFUM,10.5012/bkcs.2008.29.12.2383,
EDAGAT,10.5012/bkcs.2008.29.12.2383,
EDAGEX,10.5012/bkcs.2008.29.12.2383,
EDAPIK,10.1021/ja306401j,
EDAVOV,10.1016/j.ica.2007.02.019,
EDEPAG,10.1021/ic301544q,
EDOMAM,10.1039/b702176c,
EDORIY,10.1039/b107305b,
EDOVEA,10.1002/chem.201202412,
EDOVIE,10.1002/chem.201202412,
EDUSIF,10.1126/science.1067208,
EDUVOO,10.1126/science.1067208,
EFAYEQ,10.1021/ic8003855,
EFAYIU,10.1021/ic8003855,
EFEGOM,10.1021/ja710973k,
EFOSUO,-,y
EFOTAV,-,y
EFOTEZ,-,y
EFOTID,-,y
EGATEM,10.1021/ic8007427,
EGATIQ,10.1021/ic8007427,
EGATOW,10.1021/ic8007427,
EGEHOO,10.1002/anie.200802680,
EGEJIK,10.1002/anie.200802908,
EGELUY,10.1021/ja802761z,
EGELUY01,10.1021/ja802761z,
EHALOP,10.1021/ja802761z,
EHEKUY,10.1039/c0cc02031a,
EHIJAH,10.1039/c0cc02273j,
EHODOV,10.1039/c0cc04095a,
EHUCOA,10.1039/c0cc02490b,
EHUFAP,10.1039/c0cc04085a,
EJAXIW,10.1039/b304201d,
EJEFOP,10.1080/00958972.2010.541905,
EJEGOQ,10.1039/c0cc03507f,
EJEHAD,10.1039/c0cc03507f,
EJIDUW01,10.1016/j.crci.2004.07.003,
EJIDUW02,10.1016/j.crci.2004.07.003,
EJOGOZ,10.1246/cl.2003.588,
EJONOH,10.1039/c000586j,
EKARUE,10.1016/j.ica.2009.10.011,
EKEQIV,10.1016/j.ica.2009.09.036,
EKOPIE,10.1039/c0dt00390e,
EKOPOK,10.1039/c0dt00390e,
EKOPUQ,10.1039/c0dt00390e,
EKUPEG,10.1002/anie.201004885,
ELAFUT,10.1039/c0dt01064b,
ELAZEX,10.1016/j.ica.2010.10.011,
ELELEN,10.1039/c0nj00542h,
ELERIX,10.1002/zaac.201000137,
ELERIX01,10.1007/s10904-011-9465-y,
ELEROD,10.1002/zaac.201000137,
ELIJOZ,10.1016/j.jssc.2010.11.012,
ELIJUF,10.1016/j.jssc.2010.11.012,
ELIKAM,10.1016/j.jssc.2010.11.012,
ELIKEQ,10.1016/j.jssc.2010.11.012,
ELIKIU,10.1016/j.jssc.2010.11.012,
ELIKOA,10.1016/j.jssc.2010.11.012,
ELIKUG,10.1016/j.jssc.2010.11.012,
ELILAN,10.1016/j.jssc.2010.11.012,
ELILER,10.1016/j.jssc.2010.11.012,
ELILIV,10.1016/j.jssc.2010.11.012,
ELOFIU,10.1021/ic0300464,
ELOZEK,10.1016/j.inoche.2003.08.008,
EMAFII,10.1039/c0ce00690d,
EMANAH,10.1016/S0022-4596(03)00117-8,
EMEGEJ,10.1039/c0ce00750a,
EMICUZ,10.1039/c0ce00527d,
EMIFOW,10.1002/anie.201006531,
EMIGAJ,10.1002/anie.201006531,
EMIGEN,10.1002/anie.201006531,
EMIGIR,10.1002/anie.201006531,
EMIGOX,10.1002/anie.201006531,
EMIGUD,10.1002/anie.201006531,
EMIHAK,10.1002/anie.201006531,
EMIHEO,10.1002/anie.201006531,
EMIHIS,10.1002/anie.201006531,
EMITUQ,10.1039/c0ce00422g,
EMITUQ01,10.1021/cg1017278,
EMIVAY,10.1039/c0ce00422g,
EMIYEF,10.1039/c002063j,
EMOSOP,10.1039/c0ce00633e,
ENAFAB,10.1021/cg100783w,
ENAFOP,10.1021/cg100843k,
ENISOK,10.1021/cg1008768,
ENISUQ,10.1021/cg1008768,
ENITAX,10.1021/cg1008768,
ENITEB,10.1021/cg1008768,
ENITIF,10.1021/cg1008768,
ENITOL,10.1021/cg1008768,
ENIXUV,10.1021/cg1008973,
ENUCOG,10.1016/j.jssc.2011.03.046,
EPEWAY,10.1039/c1cc10486a,
EPEWAY01,10.1039/c1cc10486a,
EPEWEC,10.1039/c1cc10486a,
EPISOM,10.1039/c1cc10378d,
EPOTAF,10.1039/c0cc05199c,
EPOXAJ,10.1039/c0dt01721c,
EPUJIJ,10.1016/j.poly.2010.08.020,
EPUTUF,10.1039/c0cc05464j,
EPUVAN,10.1039/c0cc05464j,
EPUXET,10.1039/c0dt01206h,
EQERAU,10.1039/c1cc10754b,
EQEREY,10.1039/c1cc10899a,
EQERIC,10.1039/c1cc10899a,
EQIWAD,-,y
EQOCES,10.1002/chem.200304957,
EQOCES01,10.1021/ic049713z,
EQOCIW,10.1002/chem.200304957,
EQUBIC,10.1021/ic902241n,
EQUBOI,10.1021/ic902241n,
EQUBUO,10.1021/ic902241n,
EREFEN01,10.1002/zaac.201200048,
EREGOY,10.1021/cg101222w,
ERIRIG,10.5517/cc7r021,y
ERUFUS,10.1021/ic034999d,
ESATAU,10.1039/c0dt00903b,
ESEQUO,-,y
ESEVIH,10.1021/cg034084+,
ESIPUR,10.1021/ja0392871,
ESIPUR02,10.1039/b921532h,
ESUMOU,10.1002/ejic.200300506,
ESUMOU01,10.1016/j.micromeso.2004.02.020,
ETAXIH,10.1039/c1ce05429e,
ETAXUT,10.1039/c1ce05354j,
ETAYAA,10.1039/c1ce05349c,
ETEJIX,10.1039/c1ce05069a,
ETEJIX01,10.1016/j.molstruc.2011.07.032,
ETEJOD01,10.1016/j.molstruc.2011.07.032,
ETEJUJ,10.1039/c1ce05069a,
ETEKAQ,10.1039/c1ce05069a,
ETEKAQ01,10.1016/j.molstruc.2011.07.032,
ETEKEU,10.1039/c1ce05069a,
ETESIG,10.1039/c1ce05287j,
ETUWOG,10.1107/S1600536811020009,
EVAKOB,10.1039/b316981b,
EVEGER,10.1021/ja038784e,
EVOHOM,10.1107/S0108270104006791,
EVOMOR,10.1107/S0108270104009953,
EVOMOR01,10.1021/ic0301268,
EVOTIT,10.1021/ja109317e,
EVUBAY,10.1002/anie.200351718,
EVUMUE,10.1021/cg1015753,
EVUNAL,10.1021/cg1015753,
EVUNEP,10.1021/cg1015753,
EVUNIT,10.1021/cg1015753,
EVUNOY,10.1023/B:JOCC.0000014682.15837.83,
EVUQOC,10.1021/cg200350j,
EVUQUI,10.1021/cg200350j,
EVURAP,10.1021/cg200350j,
EWALUK,10.1021/cg200271e,
EWESIJ,10.1021/ja109437d,
EWEWUZ,10.1021/ic1019636,
EWIDUK,10.1002/cssc.201100261View,
EWIMIH,10.1021/ic100928t,
EWIMON,10.1021/ic100928t,
EWUCOP,10.1021/ic1017467,
EWUSOF,10.1021/cg200250m,
EWUSUL,10.1021/cg200250m,
EWUTEW,10.1021/cg200250m,
EXEQAA,10.1039/c1cc11168j,
EXEQII,10.1039/c1cc11168j,
EXEWAG,10.1002/chem.201100226,
EXEXAH,10.1002/chem.201003173,
EXIBUI,-,y
EXIDEV,10.1021/cg200581w,
EXOTOB,10.1016/j.inoche.2011.03.047,
EXOTUH,10.1016/j.inoche.2011.03.047,
EXOZEX,10.1039/c1dt10822k,
EXOZIB,10.1039/c1dt10822k,
EXUMOZ,10.1039/b315483a,
EYACOX,10.1039/c1dt10693g,
EYOPOY,10.1039/c0ce00789g,
EYOPUE,10.1039/c0ce00789g,
EYOQAL,10.1039/c0ce00789g,
EYOQEP,10.1039/c0ce00789g,
EYULOA,10.1039/c1ce05103b,
EYUWAW,-,y
EZABEN,10.1039/c0ce00762e,
EZILUV,10.1021/ic200328q,
EZIMAC,10.1021/ic200328q,
EZOBUR,10.1021/ic200362c,
EZOBUR02,10.1021/ic200362c,
EZOFEF,10.1021/ic200381f,
EZUCIM,10.1039/c1cc13877d,
EZUCOS,10.1039/c1cc13877d,
FABFOF,10.1016/j.inoche.2010.04.017,
FACMIH,10.1002/anie.201003221,
FACMIH01,10.1002/anie.201003221,
FAFDEX,10.1039/b925546j,
FAFGAU,10.1107/S0108270186091710,
FAFJIH,10.1002/anie.201001675,
FAFMAC,10.1107/S0108270110032609,
FAGFUQ,10.1039/c003203d,
FAGREM,10.1039/c0cc01236j,
FAHFUR,10.1039/c1ce06224g,
FAHGAY,10.1039/c1ce06224g,
FAHPOV,10.1039/c1ce06044a,
FAHTUE,10.1021/ja047141b,
FAHVAM,10.1021/ja047141b,
FAJYAS,10.1016/j.poly.2011.11.010,
FAKGOP,10.1039/c1ce05877k,
FAKLIO,10.1039/c1ce06104f,
FAKLOU,10.1039/c1ce06104f,
FAKMAH,10.1039/c1ce06104f,
FALBAX,10.1021/ja209290t,
FALJAF,-,y
FALQEQ,10.1039/c1ce05864a,
FALQIU,10.1039/c1ce05864a,
FALQOA,10.1039/c1ce05864a,
FALVOF,10.1039/c1ce06210g,
FALVOF01,10.1021/cg4008679,
FALVUL,10.1039/c1ce06210g,
FALVUL01,10.1039/c1ce06210g,
FALVUL02,10.1021/cg4008679,
FAMBUS,10.1039/c1ce05931a,
FAMGAD,10.1039/c1cc16147d,
FANQER,10.1021/ja030648m,
FANWIC,10.1039/c1dt11431j,
FANWOI,10.1039/c1dt11431j,
FAPTIB,10.1039/c1dt11304f,
FAPTOH,10.1039/c1dt11304f,
FAPTUN,10.1039/c1dt11304f,
FAPVAV,10.1039/c1dt11304f,
FAPYEA,10.1002/anie.198607401,
FAPYEA04,10.1021/ja00070a013,
FAQGEL,-,y
FAQGIP,-,y
FAQVEA,10.1039/c1ce05829k,
FAQYUR,10.1039/a802713g,
FARFIO,10.1021/ja046478a,
FARFOU,10.1021/ja046478a,
FARFUA,10.1021/ja046478a,
FARHIR,10.1039/c1ce06111a,
FARHOX,10.1039/c1ce06111a,
FARYAA,10.1016/j.poly.2011.10.020,
FASHAK,10.1016/j.molstruc.2011.07.033,
FASHUD,10.1016/j.jssc.2004.06.053,
FASJAL,10.1016/j.jssc.2004.06.053,
FASQUN,10.1080/15533174.2011.591874,
FASYUU,10.1002/anie.200460681,
FATKAO,10.1080/00958972.2012.680590,
FATKES,10.1080/00958972.2012.680590,
FATKIV,10.1021/ic049393j,
FATKIW,10.1080/00958972.2012.680590,
FATKOC,10.1080/00958972.2012.680590,
FATKUI,10.1080/00958972.2012.680590,
FATLUJ,10.1021/cg201594p,
FAVZEJ,10.1007/s10904-011-9622-3,
FAWCEN,10.1021/jp303907p,
FAWCEN01,10.1021/jp303907p,
FAWCEN02,10.1021/jp303907p,
FAWCEN03,10.1021/jp303907p,
FAYKOH,10.1002/chem.201200137,
FAYPAY,10.1002/chem.201200696,
FAYPEC,10.1002/chem.201200696,
FAYPIG,10.1002/chem.201200696,
FAYPOM,10.1002/chem.201200696,
FAYPUS,10.1002/chem.201200696,
FAYQAZ,10.1002/chem.201200696,
FAYQED,10.1002/chem.201200696,
FAYQIH,10.1002/chem.201200696,
FAYQON,10.1002/chem.201200696,
FAYQUT,10.1002/chem.201200696,
FAYRAA,10.1002/chem.201200696,
FAZFET,10.1039/c2dt30199g,
FAZPED,10.1039/c2dt30262d,
FAZRAA,10.1021/cg0499212,
FAZZEM,10.1021/cg049732j,
FEBQIO,10.1039/c2cc32907g,
FEBXIV,10.1039/c2sc20379k,
FECKAA,10.1002/anie.200461214,
FECWOB,10.1039/c2jm15860d,
FECWOB01,10.1039/c2jm15860d,
FECXAO,10.1039/c2jm15721g,
FECXES,10.1039/c2jm15538a,
FECXUI,10.1039/c2jm16627e,
FECYUJ,10.1039/c2jm15933c,
FECZAQ,10.1039/c2jm15933c,
FEDBEX,10.1039/c2jm30867c,
FEDJUU,-,y
FEFCUQ,10.1021/ic202683s,
FEFDAX,10.1021/ic202683s,
FEFDEB,10.1021/ic202683s,
FEFZOF,-,y
FEHCIG,10.1039/c2sc21181e,
FEHCOM,10.1039/c2sc21181e,
FEJKEM,10.1016/j.poly.2012.10.004,
FELVEZ,10.1016/j.ica.2012.08.011,
FELVID,10.1016/j.ica.2012.08.011,
FELVOJ,10.1016/j.ica.2012.08.011,
FELVUP,10.1016/j.ica.2012.08.011,
FELWAW,10.1016/j.ica.2012.08.011,
FELWEA,10.1016/j.ica.2012.08.011,
FELWIE,10.1016/j.ica.2012.08.011,
FELWOK,10.1016/j.ica.2012.08.011,
FELWUQ,10.1016/j.ica.2012.08.011,
FENVOL,10.1039/c2cc37174j,
FEQSIF,10.1002/adhm.201100043,
FERCAH,10.1039/b413434f,
FERGUG,10.1039/c3ce40179k,
FERHAN,10.1039/c3ce40179k,
FERVIJ,10.1002/chem.201203559,
