id,chemical_formula,DOI,REFCODE,model_pred
BEXVEH_clean.cif,Cu24H104C208O104,10.1039/C3CE27006H,BEXVEH,1.5689926
CUGLTM02_clean.cif,Cu4H28C20N4O16,-,CUGLTM02,1.5869788
cm501138g_si_010_clean.cif,Cu12H24C72O48,10.1021/cm501138g,cm501138g_si_010,1.5837772
KAVTUY_clean.cif,Cu12P12H36C36O36,10.1039/c0ce00439a,KAVTUY,1.4562277
ja994186h_clean.cif,Co4Re12C12S16N12O4,10.1021/ja994186h,ja994186h,1.3779125
XAMDUM02_clean.cif,Cu12H24C72O48,10.1039/c1cc16045a,XAMDUM02,1.5837772
PAMHIW_clean.cif,Cu12H120C168N24O48,10.1021/cg200983y,PAMHIW,1.703063
UXUPIN_clean.cif,Cu8H128C160N32,10.1021/ja201170c,UXUPIN,1.5607417
HAZSIL_clean.cif,Cu8P8H36C28N8O24,10.1016/j.jssc.2005.10.015,HAZSIL,1.5508614
AQUDAS_clean.cif,Cu12H30C50N20O20,10.1016/j.ica.2011.04.006,AQUDAS,1.6751246
YEQRER_clean.cif,Yb2K2Pt4C16N16,10.1021/ic0014787,YEQRER,2.4573455
XAMDUM04_clean.cif,Cu12H24C72O48,10.1039/c1cc16045a,XAMDUM04,1.5837772
ZILFOR_manual.cif,C216H120N8O64Cu16,10.1039/C3TA12662E,ZILFOR,1.5687771
UXUPEJ_clean.cif,Cu8H128C160N32,10.1021/ja201170c,UXUPEJ,1.5607417
GAMXAV_clean.cif,Cu12H64C144N16O32,10.1021/ja204339e,GAMXAV,1.5656532
MOCKAR_clean.cif,Cu6H24C54O24,10.1021/cm800403d,MOCKAR,1.5489448
IKEBUV_clean.cif,Cu4H8C12O16,10.1021/ic034346x,IKEBUV,1.4859061
AMUXAI_clean.cif,Cu6H52C84N8O24,10.1039/c0cc05074a,AMUXAI,1.6400865
OPENIH_clean.cif,Cu4H22C44N10O16,10.1016/j.inoche.2009.10.025,OPENIH,1.932608
QOFKUT_clean.cif,Cu8H32C64N16O16,10.1039/C4RA02147A,QOFKUT,1.716778
PIYZAZ_clean.cif,Cd2C8,10.1002/anie.200704421,PIYZAZ,1.2695341
ADODAA_charged.cif,Cu24H48C96N48O56,10.1039/c2cc35606f,ADODAA,1.8028198
TEWGEJ_clean.cif,Cu4H72C120N16O32,10.1021/cg3017563,TEWGEJ,1.7622591
LUNBAX_clean.cif,Fe6W12C12S16N12,10.1021/cm020103b,LUNBAX,1.3467834
cm501138g_si_006_clean.cif,Cu12H24C72O48,10.1021/cm501138g,cm501138g_si_006,1.5837772
CENKAJ_clean.cif,Cu18H84C78N36O30,10.1021/cg3012712,CENKAJ,1.6106348
QOFLAA_clean.cif,Cu8H16C32N16O16,10.1039/C4RA02147A,QOFLAA,1.7878394
BIMDIL_clean.cif,Cu4H24C28O16,10.1021/ja003159k,BIMDIL,1.5238061
XALXUF_clean.cif,Cu24H96C216N48O96,10.1039/c1cc15962c,XALXUF,1.9281709
DEQFOU_clean.cif,Cu8H36C40N16O12,10.1016/S0020-1693(98)00223-0,DEQFOU,1.6348283
RAZGOQ_clean.cif,Cu8H16C32O32,10.1016/j.poly.2012.04.012,RAZGOQ,1.5226152
CUGLTM01_clean.cif,Cu4H28C20N4O16,10.1016/S0020-1693(98)00224-2,CUGLTM01,1.5869788
EXOZEX_clean.cif,Cu3H24C24N6O18,10.1039/c1dt10822k,EXOZEX,1.7058713
FECXES_clean.cif,Cu16H80C148O80,10.1039/c2jm15538a,FECXES,1.5752826
LIZWEX_charged.cif,Cu48H72C216N104O224,10.1021/ja710123s,LIZWEX,2.279543
BEPVAV_clean.cif,Cu6H42C40N16,10.1039/c3sc00016h,BEPVAV,1.5744494
HOGLEV_clean.cif,Cu48H192C408O192,10.1002/anie.200802087,HOGLEV,1.5599623
ncomms7350-s2_clean.cif,Cu16H64C56N48,10.1038/ncomms7350,ncomms7350-s2,1.5786223
LAZGOK_manual.cif,Cu5H24C30N12O24,10.1007/s11243-011-9548-1,LAZGOK,1.7450947
XAMDUM_clean.cif,Cu12H24C72O48,10.1039/c1cc16045a,XAMDUM,1.5837772
KOQLUZ_clean.cif,Cu2Si2H20W24C24N8O60,10.1039/C4CE01725K,KOQLUZ,1.4063057
UNACIW_clean.cif,Cu4H32C56N8O20,10.1039/c0cc04689b,UNACIW,1.775648
NEJSEC_clean.cif,Cu8H64C104N8O32,10.1126/science.1231451,NEJSEC,1.6230489
XAMDUM05_clean.cif,Cu12H24C72O48,10.1039/c1cc16045a,XAMDUM05,1.5837772
WOCWAN_clean.cif,Cu4H44C44N4O16,10.1021/ic8004008,WOCWAN,1.6532769
LEHXUT_clean.cif,Cu24H216C408N24O120,10.1039/c2cc17593b,LEHXUT,1.6092086
WORREC_clean.cif,Cu4H20C36O16,10.1039/C4CC09999K,WORREC,1.556326
cm501138g_si_005_clean.cif,Cu12H24C72O48,10.1021/cm501138g,cm501138g_si_005,1.5837772
UXUNUX_clean.cif,Cu8H128C160N32,10.1021/ja201170c,UXUNUX,1.5607417
ja4012707_si_004_clean.cif,Zn4C16,10.1021/ja4012707,ja4012707_si_004,1.2645799
NEJSOM_clean.cif,Cu4H36C56N4O16,10.1126/science.1231451,NEJSOM,1.6150322
IGAHAB_clean.cif,Cr6Cu6H72C84N12Cl14O26,10.1039/C3CC44133D,IGAHAB,1.7544471
UTOTUT_clean.cif,Cu8H20C36N24O28,10.1021/cg1015934,UTOTUT,2.0059242
ADASEF_clean.cif,Cu48H168C360N96O104,10.1002/anie.201201202,ADASEF,1.7834648
LOXWAY_clean.cif,Cu4H44C44N4O16,10.1002/anie.201408933,LOXWAY,1.6532769
DAKVUI_clean.cif,Cu16H80C148O80,10.1021/cg200919m,DAKVUI,1.5752826
EKARUE_clean.cif,Cu8H56C112N24O32,10.1016/j.ica.2009.10.011,EKARUE,1.8734505
GUXJUF_clean.cif,Cu24H192C256N48O96,10.1002/chem.200802730,GUXJUF,1.7337649
LASDEQ_clean.cif,Cu48H192C408O240,10.1039/c2ce06384k,LASDEQ,1.582332
QEFNAQ_clean.cif,N48C96H72Cu12O24,10.1021/ja002624a,QEFNAQ,1.8379886
YEQRIV_clean.cif,Eu2K2Ni4C16N16,10.1021/ic0014787,YEQRIV,3.7394514
TAPKAY_clean.cif,Cu8P8H28C28N4O28,10.1039/c0ce00791a,TAPKAY,1.5416874
XEKCOH_clean.cif,K8La8Pt16C64N64O4,10.1016/j.ica.2012.08.031,XEKCOH,2.6659856
ZIKJOU_clean.cif,Cu4H30C48N2O16,10.1039/C3CE41095A,ZIKJOU,1.5909438
NAJMIV_charged.cif,Cu8H128C160N56O72,10.1039/b412334d,NAJMIV,2.2242322
CIPCUB_clean.cif,Cd4Ag4H56C112I8N8O32,10.1039/C3CE41714J,CIPCUB,2.285829
DEGJIK_clean.cif,Cu4H16C24N20,10.1016/j.ica.2012.06.008,DEGJIK,1.7872739
PASNEE_clean.cif,Cu10H28C48O48,10.1039/c2ce25283j,PASNEE,1.5255256
cm501138g_si_002_clean.cif,Cu12H24C72O48,10.1021/cm501138g,cm501138g_si_002,1.5837772
JOVXEZ_clean.cif,Cu4H32C44N8O8,10.1016/j.inoche.2014.06.028,JOVXEZ,1.6376292
FIGQUJ_clean.cif,Cu4H42C42N6O18,10.1016/j.ica.2013.05.009,FIGQUJ,1.6858964
MABJUV01_clean.cif,Cu4H40C40N4O16,10.1039/b301219k,MABJUV01,1.6574533
BEPVOJ01_clean.cif,Cu6H42C40N16,10.1039/c3sc00016h,BEPVOJ01,1.5744494
VUHJAK_clean.cif,Cu18P12H48C84O66,10.1039/b816132c,VUHJAK,1.5143092
LAGHIL_clean.cif,Cu3H24C36N6O12,10.1016/j.poly.2004.04.026,LAGHIL,1.7450291
YAPLUY_clean.cif,Cu48H288C384N288,10.1021/ja208469n,YAPLUY,1.7980988
BIMDEF_clean.cif,Cu4H24C28O16,10.1021/ja003159k,BIMDEF,1.5238061
JUTCUW_SL.cif,Cd2C8,10.1021/ja00052a073,JUTCUW,1.2695341
UNABUH01_clean.cif,Cu4H32C56N8O20,10.1039/c0cc04689b,UNABUH01,1.775648
HAJJAE_clean.cif,Cu4H16C32N12O16,10.1039/b406883a,HAJJAE,2.0257955
FARYAA_clean.cif,K4Nd4Re16Te16C48N48,10.1016/j.poly.2011.10.020,FARYAA,1.8428384
cm501138g_si_011_clean.cif,Cu12H24C72O48,10.1021/cm501138g,cm501138g_si_011,1.5837772
IDUDIW_clean.cif,Cu4H24C48N8O16,10.1021/ja309992a,IDUDIW,1.760214
QULKIS_charged.cif,Cu4H80C104N12O28Cl2,10.1039/b903214b,QULKIS,1.9369363
GIWNUV_clean.cif,Cu12H36C48N24O12,10.1002/(SICI)1521-3773(19981231)37:24<3366::AID-ANIE3366>3.0.CO;2-Z,GIWNUV,1.6449707
VURYIR_clean.cif,Cu4H24C52N12O16,10.1246/cl.2010.218,VURYIR,1.9583035
ic501849g_si_002_clean.cif,Cu6H40C56N4O28,10.1021/ic501849g,ic501849g_si_002,1.660576
UTOTUT01_clean.cif,Cu8H24C36N24O28,10.1039/c1dt10958h,UTOTUT01,1.8750696
XEBHOC_clean.cif,Cu4H40C68N4O16,10.1039/b505664k,XEBHOC,1.5786127
NAYZOE_clean.cif,Cu12H96C168N8O48,10.1002/adfm.201102157,NAYZOE,1.5804739
PEDMOB_clean.cif,Cu8P12H68C76N8O36,10.1021/ic0509377,PEDMOB,1.6622651
HAWZEM_clean.cif,Cu4H32C48N8O16,10.1016/j.inoche.2011.12.041,HAWZEM,1.7450291
MAFJIO_clean.cif,Cu12H72C114O60,10.1039/C0CC03270K,MAFJIO,1.568493
DOKDEN_clean.cif,Cu6H78C96N6O24,10.1039/b806616g,DOKDEN,1.6187797
IFEPIT_clean.cif,Gd2Re12Te16C12N12,10.1016/j.poly.2008.04.054,IFEPIT,1.2707219
HOGLEV01_clean.cif,Cu12H48C102O48,10.1002/anie.200802087,HOGLEV01,1.5599623
TEWFUY_clean.cif,Cu4H72C120N16O32,10.1021/cg3017563,TEWFUY,1.7622591
ECASOS_clean.cif,Cu4P8H32C32N16O24,10.1080/10610278.2010.523119,ECASOS,1.8548242
QIWDOR_clean.cif,Cu4H36C44N12O16,10.1039/C4CC00857J,QIWDOR,1.7817318
UCOCUM_neutral.cif,Cu12H24C72O48,10.1021/ja203695h,UCOCUM,1.5837772
ja4012707_si_003_clean.cif,Zn2C8,10.1021/ja4012707,ja4012707_si_003,1.2645799
VEHPUU_clean.cif,Cu4H28C48N12O16,10.1002/anie.200600333,VEHPUU,1.9277077
ZECKID_clean.cif,Cu4H24C24N8O8,10.1002/chem.201201820,ZECKID,1.6378746
EFOSUO_clean.cif,Mn8Re24C24S32N24,-,EFOSUO,1.3513854
KAHNOX_clean.cif,Cu10C12N12,private communication,KAHNOX,1.4077606
BUSQUC_clean.cif,Cu4H48C72N4O16,10.1021/cm9025683,BUSQUC,1.587643
LECFUW_charged.cif,Cu18H84C132N42O75,10.1021/ic3003228,LECFUW,1.7842021
NEJSAY_clean.cif,Cu8H64C104N8O32,10.1126/science.1231451,NEJSAY,1.6230489
CAWDOU_charged.cif,Cu4H72C96N32O28Cl4,10.1021/ic0505504,CAWDOU,2.2744937
OHOMIH_clean.cif,Cu4H6C18O14,10.1246/cl.2003.590,OHOMIH,1.5540375
EZOBUR02_clean.cif,Cu12H148C212N24O48F116,10.1021/ic200362c,EZOBUR02,2.2949686
UZUNAF01_clean.cif,Cu4H44C44N8O16,10.1021/cg2004672,UZUNAF01,1.7041602
LECFEG_clean.cif,Cu18H64C120Se4N36O68,10.1021/ic3003228,LECFEG,1.9329139
BAHGUN01_clean.cif,Cu2H16C24N4O8,10.1039/b200213b,BAHGUN01,1.7450291
KEYYET_clean.cif,Mn8Re24C24Se32N24,10.1016/j.ica.2006.09.031,KEYYET,1.2654856
EDOMAM_clean.cif,Cu4H48C76N4O16,10.1039/b702176c,EDOMAM,1.5740228
CAJQIP_clean.cif,Cu8H76C132N16O40,10.1021/ja205658j,CAJQIP,1.7086384
PEDMER_clean.cif,Cu6P6H6C12O18,10.1021/ic0509377,PEDMER,1.472477
ZAZBUZ_clean.cif,Cu2H8C16O8,-,ZAZBUZ,1.5576144
OKABEI_clean.cif,Cu18H84C156N24O72,10.1039/c0cc03482g,OKABEI,1.7365422
IXISAJ_clean.cif,Cu8H48C48Br8N16,10.1039/b316561b,IXISAJ,1.6525561
IBOZIK_clean.cif,Cu8H64C58N8O20,10.1039/c1ce05549f,IBOZIK,1.6123785
XADFAL_clean.cif,Cu4H16C36N8O16,10.1002/ejic.201000291,XADFAL,1.9281709
HEDCIE_clean.cif,Cu8H80C132N4O40,10.1021/ic300778m,HEDCIE,1.5949546
GOKBUE_clean.cif,Cu8H24C16O24,10.1080/00958970802061156,GOKBUE,1.4414331
POVZOR_clean.cif,Eu2Cu5Si2H36W22C44N20O66,10.1039/C4CE01409J,POVZOR,1.5827636
DEFKUU_clean.cif,Cu6P4H16C12O20,10.1107/S0108270185008745,DEFKUU,1.445589
DOLXOR01_clean.cif,Cu10C12N12,10.1107/S160053680401921X,DOLXOR01,1.4077606
VURYOX_clean.cif,Cu4H24C44N16O16,10.1246/cl.2010.218,VURYOX,2.0815022
VIXCUB_clean.cif,Cu12H32C64N16Cl8O16,10.1016/j.inoche.2007.11.017,VIXCUB,1.7450342
FIBHIJ_clean.cif,Cu6H42C40N16,10.1039/c3sc00016h,FIBHIJ,1.5744494
AMUWUB_clean.cif,Cu6H42C74N6O24,10.1039/c0cc05074a,AMUWUB,1.627267
CAWDOU01_charged.cif,Cu4H72C96N32O60Cl12,10.1021/ic0505504,CAWDOU01,2.3265195
NEJRUR_clean.cif,Cu4H32C52N4O16,10.1126/science.1231451,NEJRUR,1.6230489
VITKUG_charged.cif,Cu8H48C52O36N4,10.1002/zaac.201300527,VITKUG,1.6019738
UGOSOY_charged.cif,Cu4H64C96N32O24Cl4,10.1021/ic025559+,UGOSOY,2.3290281
NUBPIL_clean.cif,Cu4H24C44N8O16,10.1039/C4DT03371J,NUBPIL,1.8022125
SEGBIR_clean.cif,Cu3H30C48N12O12,10.1039/c2cc37453f,SEGBIR,1.9387151
IDORIE_clean.cif,Cu28H168C240N144,10.1039/C3CE41008K,IDORIE,1.7369738
UGEPEB01_clean.cif,Cu4H20C24N4O12,10.1021/ic050024c,UGEPEB01,1.6105455
TIQGEG_clean.cif,Cu14H24C32O44,10.1021/cm071005z,TIQGEG,1.4599094
IDUDES_clean.cif,Cu4H28C52N4O16,10.1021/ja309992a,IDUDES,1.6148138
COJGEO_clean.cif,Zn12Cu4H104C160N16O56,10.1021/ja710144k,COJGEO,1.7722813
XADDEN_manual.cif,Cu12H24C72O48,10.1002/ejic.201000331,XADDEN,1.5837772
MOCKEV_clean.cif,Cu6H18C48N6O24,10.1021/cm800403d,MOCKEV,1.8138921
BAHGUN02_clean.cif,Cu2H16C24N4O8,10.1039/b201501n,BAHGUN02,1.7450291
ZIJVOF01_clean.cif,Cu8H48C48N16O16,10.1039/C3CE41111G,ZIJVOF01,1.6378746
ic502921j_si_002_clean.cif,Cu24H32C144N16O96,10.1021/ic502921j,ic502921j_si_002,1.9598051
LEJBUX_clean.cif,Cd8C32,10.1039/C39940000637,LEJBUX,1.2695341
AMAFOK_clean.cif,Cu3H18C30N12O12,10.1021/ic1012523,AMAFOK,2.0223918
EBIPIQ_clean.cif,Cu4H28C36N12O16,10.1039/c1ce05466j,EBIPIQ,1.7885112
XALXUF01_clean.cif,Cu24H96C216N48O96,10.1002/anie.201105966,XALXUF01,1.9281709
ORAGEU_clean.cif,Gd6Re16C48Se16N48,10.1016/j.poly.2011.02.051,ORAGEU,1.7887769
ja203898s_si_004_clean.cif,Cu6H54C84N6O30,10.1021/ja203898s,ja203898s_si_004,1.6612036
LOXWEC_clean.cif,Cu4H44C44N8O16,10.1002/anie.201408933,LOXWEC,1.7041602
ZECKOJ_clean.cif,Cu4H24C24N8O8,10.1002/chem.201201820,ZECKOJ,1.6378746
EMIHEO_charged.cif,Cd8In32H8C12S62N8,10.1002/anie.201006531,EMIHEO,1.8418132
BAHGUN_clean.cif,Cu2H16C24N4O8,10.1006/jssc.2001.9118,BAHGUN,1.7450291
TIZVIH01_charged.cif,Cu2H32C40N8Cl2O8,10.1021/ic9707725,TIZVIH01,1.96158
DOKHIV_clean.cif,Cu8H28C56N4O28,10.1039/b808373h,DOKHIV,1.6465869
LENKIA_clean.cif,Cu6H6C24O18,10.1039/c2dt32138f,LENKIA,1.5419992
ic102347b_si_001_clean.cif,Cu4H48C72N8O20,10.1021/ic102347b,ic102347b_si_001,1.6901042
UNABUH_clean.cif,Cu4H32C56N8O20,10.1039/c0cc04689b,UNABUH,1.775648
IBUDOZ_clean.cif,Cu4H16C24N20,10.1002/ejic.200400170,IBUDOZ,1.7872739
FEVNOK_clean.cif,Cu4H16C32N12O16,10.1002/anie.200461895,FEVNOK,2.0257955
ic025743v_s1_clean.cif,Cu8C32,10.1021/ic025743v,ic025743v_s1,1.1636326
TARWAK_clean.cif,Cu4H4C24N36,10.1039/cc9960001099,TARWAK,2.6428423
IGAGUU_clean.cif,Cr18Cu12H216C252N36Cl28O78,10.1039/C3CC44133D,IGAGUU,1.7912713
EFOTID_clean.cif,Mn8Re24Te32C24N24,-,EFOTID,1.2400409
cg400449c_si_001_clean.cif,C252H108Cu24O96N12,10.1021/cg400449c,cg400449c_si_001,1.5972115
SIZNIA_clean.cif,Cu4H48C56N8O16,10.1039/C4CE00187G,SIZNIA,1.6987443
NAYGUR_clean.cif,C32H40N24Cu4,10.1039/c2dt30078h,NAYGUR,1.7324214
NELWIL_clean.cif,Cu4H16C32N12O16,10.1002/anie.200600976,NELWIL,2.0257955
NATNOM_charged.cif,Cu2H40C52N12O20Cl2,10.1002/anie.200501753,NATNOM,2.1375108
IDAZEU_clean.cif,Yb2K2C8O16,10.1107/S1600536811046022,IDAZEU,4.8951745
ALIXUP_clean.cif,Cu12H40C68O40,10.1039/c001655a,ALIXUP,1.5139937
EXOZIB_clean.cif,Cu3H24C24N6O18,10.1039/c1dt10822k,EXOZIB,1.7058713
MAYKOO_clean.cif,Cu12H136C192N8O48,10.1021/ic300950h,MAYKOO,1.5861796
QERZUI01_clean.cif,Cu2H16C24N4O8,10.1039/b200213b,QERZUI01,1.7450291
YOCLEJ_clean.cif,Cu12H24C72O48,10.1039/c3nr04161a,YOCLEJ,1.5837772
OFOCUI_clean.cif,Cu24H72C192N24O96,10.1021/cg8001114,OFOCUI,1.8138921
CENJIQ_clean.cif,Cu18H84C78N36O30,10.1021/cg3012712,CENJIQ,1.6106348
GEWXAJ_clean.cif,Cu8H40C56N16O28,10.1016/j.jssc.2012.10.003,GEWXAJ,1.7082125
EFOTAV_clean.cif,Mn8Re24C24S32N24,-,EFOTAV,1.3513854
XAMDUM01_clean.cif,Cu12H24C72O48,10.1039/c1cc16045a,XAMDUM01,1.5837772
cm501138g_si_009_clean.cif,Cu12H24C72O48,10.1021/cm501138g,cm501138g_si_009,1.5837772
XAMDUM06_clean.cif,Cu12H24C72O48,10.1039/c1cc16045a,XAMDUM06,1.5837772
ZIJVOF_clean.cif,Cu8H48C48N16O16,10.1039/C3CE41111G,ZIJVOF,1.6378746
TEJQAC_clean.cif,Cu16H192C312N48O64,10.1016/j.poly.2012.05.047,TEJQAC,1.6922966
BARZOK_clean.cif,Cu12H132C204N12O48,10.1039/b301221b,BARZOK,1.5908915
PODKOK_clean.cif,Cu24H192C384N80O96,10.1021/cm404155s,PODKOK,1.8285974
GEGDED_clean.cif,Cu16H80C148O80,10.1021/cm2008889,GEGDED,1.5752826
ZIJVOF02_clean.cif,Cu8H48C48N16O16,10.1039/C3CE41111G,ZIJVOF02,1.6378746
CECVAI_clean.cif,Cu24H120C176N48O48,10.1002/ejic.200500652,CECVAI,1.7058728
QUQHAM_clean.cif,Cu6H12C24N4O16,10.1021/cg1001573,QUQHAM,1.6280383
DOLXOR_clean.cif,Cu10C12N12,10.1016/S0020-1693(00)86845-0,DOLXOR,1.4077606
BACMOH10_clean.cif,Cu4H36C28N12O16,10.1021/ic00136a027,BACMOH10,1.7071148
HOHMEX_manual.cif,Cu8H96C160N8O40,10.1002/chem.200801064,HOHMEX,1.594826
CUGLTM_clean.cif,Cu4H28C20N4O16,10.1107/S0365110X66003517,CUGLTM,1.5869788
POTNET_clean.cif,Cu5H12C32O20,10.1021/acs.cgd.5b00205,POTNET,1.5732868
KUCDIW_clean.cif,Cu24B24H480C384N192,10.1021/ja901725v,KUCDIW,1.8155547
cg301577a_si_002_clean.cif,C208H112N16O64Cu12,10.1021/cg301577a,cg301577a_si_002,1.6523091
NAMZIL_clean.cif,Mn4Re12Te16C12N12,-,NAMZIL,1.2400409
IPICUG_charged.cif,Cu8H80C112N48Cl12O48,10.1016/j.inoche.2010.10.012,IPICUG,2.2654436
HAXMUP_clean.cif,Cu6H48C30N18O6,10.1246/cl.2005.620,HAXMUP,1.6417835
YEKXOD_clean.cif,Cu8H72C112N8O32,10.1039/c2cc35340g,YEKXOD,1.6150322
TIZVIH_charged.cif,Cu2H32C40N8Cl2O8,-,TIZVIH,1.96158
QISVEU_clean.cif,Cu12H52C160N12Cl36O48,10.1039/b713705b,QISVEU,1.7745883
UGEPEB_clean.cif,Cu4H20C24N4O12,10.1039/b201501n,UGEPEB,1.6105455
UFUNAK_clean.cif,Cu2H16C24N4O8,10.1039/b200213b,UFUNAK,1.7450291
ADASAB_charged.cif,Cu48H264C504N96O176,10.1002/anie.201201202,ADASAB,1.7946527
ECODIK_clean.cif,Cu8H32C48N8O20,10.1016/j.jssc.2005.12.012,ECODIK,1.6349665
ZIKJIO_clean.cif,Cu4H30C48N2O16,10.1039/C3CE41095A,ZIKJIO,1.5909438
BEPVID_clean.cif,Cu6H42C40N16,10.1039/c3sc00016h,BEPVID,1.5744494
IKETOH_manual.cif,Cu12C72O48H24,10.1016/S1387-7003(03)00172-2,IKETOH,1.5837772
IPOWOA_clean.cif,Cu10H28C48O48,10.1016/j.ica.2011.01.019,IPOWOA,1.5255256
WANJIF_clean.cif,Cu4H32C48N8O16,10.1039/b417013j,WANJIF,1.7450291
MABJUV_clean.cif,Cu4H40C40N4O16,10.1039/b301219k,MABJUV,1.6574533
QOZFUG_charged.cif,Cu6H144C144N48,10.1039/b100325i,QOZFUG,1.7461481
IKEBUV01_clean.cif,Cu4H8C12O16,10.1016/j.molstruc.2005.01.055,IKEBUV01,1.4859061
OKABAE_clean.cif,Cu18H60C156N24O72,10.1039/c0cc03482g,OKABAE,1.8677572
NIBHOW_clean.cif,Cu12H96C192N24O48,10.1021/ja067435s,NIBHOW,1.6493955
ic034943jsi20030807_040506_clean.cif,Cu10H96C128N16O32,10.1021/ic034943j,ic034943jsi20030807_040506,1.6472502
ICIZAV_clean.cif,Cu4P4H16C20N4O12,10.1021/ic010609g,ICIZAV,1.6017613
KAGCAY_charged.cif,Cu24H48C96N48O56,10.1002/anie.201003314,KAGCAY,1.8028198
