id,chemical_formula,DOI,REFCODE,model_pred
RAGREY_charged.cif,Cu4H64C80N16,-,RAGREY,2.2558653
MEHPAQ_clean.cif,Cu4H28C20N4O16,10.1016/S0020-1693(98)00224-2,MEHPAQ,2.3475497
XADDIR_manual.cif,Cu12H24C72O48,10.1002/ejic.201000331,XADDIR,1.836939
XAWVUN_clean.cif,Cu4H40C68N4O16,10.1039/b505664k,XAWVUN,2.2078156
INURIS_clean.cif,Cu24H264C360N24O72,10.1002/anie.200352024,INURIS,2.2308757
BEPVEZ_clean.cif,Cu6H42C40N16,10.1039/c3sc00016h,BEPVEZ,2.1416922
ic5008457_si_002_clean.cif,Cu6H32C48N52,10.1021/ic5008457,ic5008457_si_002,2.3570168
UGUGUZ_clean.cif,Yb8C48N12O48,10.1039/b900618d,UGUGUZ,4.0175915
QAVDEW_clean.cif,Cu6H24C16N32O16,10.1016/S0020-1693(00)00244-9,QAVDEW,2.4102616
MILROQ_clean.cif,Cu72H520C616N104O96,10.1007/s11426-013-4851-7,MILROQ,2.1399283
ADATIK_clean.cif,Cu48H192C384N120O128,10.1002/anie.201201202,ADATIK,2.1179469
UBUROY_clean.cif,Zn2Cu8C12N12,10.1016/S1387-7003(01)00241-6,UBUROY,1.4966168
GAWMAU_clean.cif,Cu12H80C68N32O48,10.1016/j.inoche.2011.09.012,GAWMAU,2.3614964
LUNBIF_clean.cif,Zn4W12C12S16N12,10.1021/cm020103b,LUNBIF,1.490293
YAZWOM_clean.cif,Cu6H78C42N12Cl6O18,10.1016/j.inoche.2005.09.008,YAZWOM,2.5037122
QIWCOQ_clean.cif,Cu4H52C84N16O16,10.1039/C4CE00181H,QIWCOQ,2.299792
LUNBEB_clean.cif,Co6W12C12S16N12,10.1021/cm020103b,LUNBEB,1.4457043
cg501332u_si_002_clean.cif,Co2Cu8B4H90C102N36O32,10.1021/cg501332u,cg501332u_si_002,2.3678112
BEPVOJ_clean.cif,Cu6H42C40N16,10.1039/c3sc00016h,BEPVOJ,2.1416922
TIQGEG01_clean.cif,Cu14H24C32O44,10.1021/cm071005z,TIQGEG01,1.689126
KANMIX_clean.cif,Cu12H36C84N12O48,10.3390/polym3042133,KANMIX,2.0775828
PEFSUQ_clean.cif,Cu6H48C69N18O18,10.1021/cg300440t,PEFSUQ,2.257092
HEXVEM_clean.cif,Cu12H120C192N48O48,10.1021/ja066616r,HEXVEM,2.3063378
XEYMAR_clean.cif,Mn8Cu16H72C96I16N16O40,10.1021/cm302953x,XEYMAR,2.3508568
AQUCOF_clean.cif,Cu12H30C50N20O20,10.1016/j.ica.2011.04.006,AQUCOF,1.9442861
cm501138g_si_008_clean.cif,Cu12H24C72O48,10.1021/cm501138g,cm501138g_si_008,1.836939
LUMZUO_clean.cif,Mn6W12C12S16N12,10.1021/cm020103b,LUMZUO,1.4754549
MAWFAT_charged.cif,Mn4Cu6H296C208N16O36,10.1039/c2cc17767f,MAWFAT,2.8459606
